league,season_year,fixture_id,date,team,opponent,formation
Bundesliga,2024,1224274,2025-05-17T13:30:00+00:00,Bayern München,1899 Hoffenheim,4-2-3-1
Bundesliga,2024,1224277,2025-05-17T13:30:00+00:00,FC Augsburg,Union Berlin,3-4-2-1
Bundesliga,2024,1224277,2025-05-17T13:30:00+00:00,Union Berlin,FC Augsburg,3-4-2-1
Bundesliga,2024,1224272,2025-05-17T13:30:00+00:00,RB Leipzig,VfB Stuttgart,4-2-2-2
Bundesliga,2024,1224272,2025-05-17T13:30:00+00:00,VfB Stuttgart,RB Leipzig,3-4-2-1
Bundesliga,2024,1224275,2025-05-17T13:30:00+00:00,1. FC Heidenheim,Werder Bremen,3-4-2-1
Bundesliga,2024,1224275,2025-05-17T13:30:00+00:00,Werder Bremen,1. FC Heidenheim,3-5-2
Bundesliga,2024,1224280,2025-05-17T13:30:00+00:00,FC St. Pauli,VfL Bochum,3-4-3
Bundesliga,2024,1224280,2025-05-17T13:30:00+00:00,VfL Bochum,FC St. Pauli,3-5-2
Bundesliga,2024,1375862,2025-05-22T18:30:00+00:00,1. FC Heidenheim,SV Elversberg,3-5-2
Bundesliga,2024,1375862,2025-05-22T18:30:00+00:00,SV Elversberg,1. FC Heidenheim,4-2-3-1
Bundesliga,2024,1375863,2025-05-26T18:30:00+00:00,SV Elversberg,1. FC Heidenheim,4-2-3-1
Bundesliga,2024,1375863,2025-05-26T18:30:00+00:00,1. FC Heidenheim,SV Elversberg,3-1-4-2
