event_id,match_id,minute,second,team_name,player_name,event_type,xg,shot_outcome,shot_type,body_part,technique,play_pattern,x,y,end_x,end_y,end_z,is_goal
8e444669-3910-4bf2-afe6-03cbabfc7b4e,3753980,3,36,Arsenal,Gabriel Armando de Abreu,Shot,0.0831494,Off T,Open Play,Left Foot,Volley,From Corner,111.7,30.0,120.0,31.3,7.3,0
8b60f6a2-b05d-486d-9dce-63320b1a16f0,3753980,6,22,Arsenal,Daniel Nii Tackie Mensah Welbeck,Shot,0.8986322,Goal,Open Play,Right Foot,Normal,Regular Play,116.5,46.0,120.0,39.3,0.2,1
0ee5079d-b5fc-4258-bfa6-0f381794c448,3753980,7,18,Arsenal,Alex Iwobi,Shot,0.13478135,Saved,Open Play,Right Foot,Normal,Regular Play,101.6,31.0,113.8,37.4,0.3,0
8d2dc28d-e19b-43ea-aa95-e3039033dcbf,3753980,20,56,Arsenal,Mesut Özil,Shot,0.09169862,Blocked,Open Play,Right Foot,Normal,Regular Play,105.1,33.5,106.0,33.9,,0
fef9bfeb-55c7-46de-9398-0499077ff229,3753980,22,30,Everton,Ross Barkley,Shot,0.02106827,Blocked,Open Play,Right Foot,Half Volley,From Goal Kick,105.4,22.6,111.2,30.6,,0
e6e6ae48-ce4e-4587-933d-e8b7ab028072,3753980,22,36,Everton,Muhamed Bešić,Shot,0.047226544,Saved,Open Play,Right Foot,Normal,From Goal Kick,95.7,33.6,119.5,43.1,0.6,0
b068164a-d5da-4d4f-a91c-a5718edcf424,3753980,37,38,Arsenal,Héctor Bellerín Moruno,Shot,0.15557927,Blocked,Open Play,Left Foot,Normal,Regular Play,104.3,45.1,106.4,44.3,,0
7679e567-47fa-4114-9ac1-69c538c53502,3753980,38,42,Everton,James McCarthy,Shot,0.021156333,Blocked,Open Play,Left Foot,Half Volley,From Corner,91.4,41.8,106.1,42.7,,0
9091f7f5-bcd1-4b86-9014-8cc0f349574b,3753980,41,6,Arsenal,Alex Iwobi,Shot,0.24475919,Goal,Open Play,Right Foot,Normal,Regular Play,106.2,50.9,120.0,41.3,0.2,1
a00ca90e-4917-46ae-b987-24370b88a744,3753980,42,46,Everton,Aaron Lennon,Shot,0.033438336,Off T,Open Play,Left Foot,Half Volley,From Corner,97.9,43.0,120.0,33.5,3.9,0
7c511bc2-303b-4aea-92d2-5a685184d1e8,3753980,44,30,Arsenal,Alex Iwobi,Shot,0.06096718,Off T,Open Play,Right Foot,Normal,Regular Play,106.9,53.1,120.0,46.1,2.0,0
e77dd6fd-5968-4879-a3d6-f48365c1c59d,3753980,47,38,Arsenal,Mesut Özil,Shot,0.042830143,Blocked,Open Play,Left Foot,Normal,From Free Kick,108.4,50.1,109.4,49.3,,0
bceef52e-e5dc-4a70-8074-691ba3d0f2b4,3753980,52,48,Arsenal,Francis Joseph Coquelin,Shot,0.021132382,Off T,Open Play,Right Foot,Half Volley,Regular Play,91.7,46.3,120.0,42.7,4.9,0
0d551d86-73e2-4ffd-bb9d-8f244072ceea,3753980,68,28,Everton,Phil Jagielka,Shot,0.11206721,Off T,Open Play,Head,Normal,From Corner,115.1,43.4,120.0,44.4,3.4,0
1b6d7f00-4bc6-473b-95e6-50a4de5f10e5,3753980,71,24,Everton,Tom Cleverley,Shot,0.06845448,Blocked,Open Play,Right Foot,Normal,Regular Play,104.7,52.6,112.7,40.9,,0
e3defb4e-b9dd-4641-b8c2-2472fa1f2a1a,3753980,81,50,Arsenal,Olivier Giroud,Shot,0.016611917,Blocked,Open Play,Left Foot,Normal,Regular Play,89.9,34.6,92.2,35.1,,0
6fd89c6a-84e0-465b-97d1-c31105a1a5ea,3753980,87,35,Everton,Romelu Lukaku Menama,Shot,0.10026337,Saved,Open Play,Head,Normal,Regular Play,110.5,42.4,118.6,43.2,0.8,0
12a65599-ee8c-4cd2-a83c-7b292d797034,3753980,92,12,Arsenal,Olivier Giroud,Shot,0.08022854,Off T,Open Play,Left Foot,Normal,Regular Play,107.8,28.7,120.0,35.4,1.7,0
dfe3889c-94c5-4c70-977e-ade8df87e1f9,3753981,0,43,Crystal Palace,Wilfried Zaha,Shot,0.028004505,Post,Open Play,Right Foot,Normal,From Kick Off,115.2,26.7,120.0,44.0,0.5,0
90aae3b2-8072-4e21-a26d-00d5b5d2f5ad,3753981,1,29,Aston Villa,Libor Kozák,Shot,0.030967258,Blocked,Open Play,Right Foot,Normal,From Throw In,102.8,54.5,104.9,53.3,,0
5549710d-631b-4f52-9fc8-530fea1572bc,3753981,2,0,Aston Villa,Ashley Westwood,Shot,0.028597992,Off T,Open Play,Left Foot,Half Volley,From Corner,96.6,33.3,120.0,34.3,3.6,0
