league,Date,HomeTeam,AwayTeam,FTHG,FTAG,total_goals
Bundesliga,29/03/2025,Hoffenheim,Augsburg,1,1,2
Bundesliga,29/03/2025,Holstein Kiel,Werder Bremen,0,3,3
Bundesliga,29/03/2025,M'gladbach,RB Leipzig,1,0,1
Bundesliga,29/03/2025,Wolfsburg,Heidenheim,0,1,1
Bundesliga,29/03/2025,Ein Frankfurt,Stuttgart,1,0,1
Bundesliga,30/03/2025,Freiburg,Union Berlin,1,2,3
Bundesliga,30/03/2025,Dortmund,Mainz,3,1,4
Bundesliga,04/04/2025,Augsburg,Bayern Munich,1,3,4
Bundesliga,05/04/2025,Bochum,Stuttgart,0,4,4
Bundesliga,05/04/2025,Freiburg,Dortmund,1,4,5
Bundesliga,05/04/2025,Heidenheim,Leverkusen,0,1,1
Bundesliga,05/04/2025,Mainz,Holstein Kiel,1,1,2
Bundesliga,05/04/2025,RB Leipzig,Hoffenheim,3,1,4
Bundesliga,05/04/2025,Werder Bremen,Ein Frankfurt,2,0,2
Bundesliga,06/04/2025,St Pauli,M'gladbach,1,1,2
Bundesliga,06/04/2025,Union Berlin,Wolfsburg,1,0,1
Bundesliga,11/04/2025,Wolfsburg,RB Leipzig,2,3,5
Bundesliga,12/04/2025,Bochum,Augsburg,1,2,3
Bundesliga,12/04/2025,Hoffenheim,Mainz,2,0,2
Bundesliga,12/04/2025,Holstein Kiel,St Pauli,1,2,3
Bundesliga,12/04/2025,Leverkusen,Union Berlin,0,0,0
Bundesliga,12/04/2025,M'gladbach,Freiburg,1,2,3
Bundesliga,12/04/2025,Bayern Munich,Dortmund,2,2,4
Bundesliga,13/04/2025,Stuttgart,Werder Bremen,1,2,3
Bundesliga,13/04/2025,Ein Frankfurt,Heidenheim,3,0,3
Bundesliga,19/04/2025,Freiburg,Hoffenheim,3,2,5
Bundesliga,19/04/2025,Heidenheim,Bayern Munich,0,4,4
Bundesliga,19/04/2025,Mainz,Wolfsburg,2,2,4
Bundesliga,19/04/2025,RB Leipzig,Holstein Kiel,1,1,2
Bundesliga,19/04/2025,Werder Bremen,Bochum,1,0,1
Bundesliga,19/04/2025,Union Berlin,Stuttgart,4,4,8
Bundesliga,20/04/2025,Augsburg,Ein Frankfurt,0,0,0
Bundesliga,20/04/2025,Dortmund,M'gladbach,3,2,5
Bundesliga,20/04/2025,St Pauli,Leverkusen,1,1,2
Bundesliga,25/04/2025,Stuttgart,Heidenheim,0,1,1
Bundesliga,26/04/2025,Bayern Munich,Mainz,3,0,3
Bundesliga,26/04/2025,Hoffenheim,Dortmund,2,3,5
Bundesliga,26/04/2025,Holstein Kiel,M'gladbach,4,3,7
Bundesliga,26/04/2025,Leverkusen,Augsburg,2,0,2
Bundesliga,26/04/2025,Wolfsburg,Freiburg,0,1,1
Bundesliga,26/04/2025,Ein Frankfurt,RB Leipzig,4,0,4
Bundesliga,27/04/2025,Bochum,Union Berlin,1,1,2
Bundesliga,27/04/2025,Werder Bremen,St Pauli,0,0,0
Bundesliga,02/05/2025,Heidenheim,Bochum,0,0,0
Bundesliga,03/05/2025,M'gladbach,Hoffenheim,4,4,8
Bundesliga,03/05/2025,RB Leipzig,Bayern Munich,3,3,6
Bundesliga,03/05/2025,St Pauli,Stuttgart,0,1,1
Bundesliga,03/05/2025,Union Berlin,Werder Bremen,2,2,4
Bundesliga,03/05/2025,Dortmund,Wolfsburg,4,0,4
Bundesliga,04/05/2025,Augsburg,Holstein Kiel,1,3,4
Bundesliga,04/05/2025,Freiburg,Leverkusen,2,2,4
Bundesliga,04/05/2025,Mainz,Ein Frankfurt,1,1,2
Bundesliga,09/05/2025,Wolfsburg,Hoffenheim,2,2,4
Bundesliga,10/05/2025,Bochum,Mainz,1,4,5
Bundesliga,10/05/2025,Holstein Kiel,Freiburg,1,2,3
Bundesliga,10/05/2025,Union Berlin,Heidenheim,0,3,3
Bundesliga,10/05/2025,Werder Bremen,RB Leipzig,0,0,0
Bundesliga,10/05/2025,Bayern Munich,M'gladbach,2,0,2
Bundesliga,11/05/2025,Leverkusen,Dortmund,2,4,6
Bundesliga,11/05/2025,Ein Frankfurt,St Pauli,2,2,4
Bundesliga,11/05/2025,Stuttgart,Augsburg,4,0,4
Bundesliga,17/05/2025,Augsburg,Union Berlin,1,2,3
Bundesliga,17/05/2025,Dortmund,Holstein Kiel,3,0,3
Bundesliga,17/05/2025,Freiburg,Ein Frankfurt,1,3,4
Bundesliga,17/05/2025,Heidenheim,Werder Bremen,1,4,5
Bundesliga,17/05/2025,Hoffenheim,Bayern Munich,0,4,4
Bundesliga,17/05/2025,Mainz,Leverkusen,2,2,4
Bundesliga,17/05/2025,M'gladbach,Wolfsburg,0,1,1
Bundesliga,17/05/2025,RB Leipzig,Stuttgart,2,3,5
Bundesliga,17/05/2025,St Pauli,Bochum,0,2,2
